"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000001036",50.1788689558019,-1.52322477232397,1.8614309933625,-0.818308482965789,0.413181063486845,NA
"ENSG00000001167",121.004486476407,0.145092717033925,0.934888140524338,0.155197943737471,0.876665269307983,0.998874987290562
"ENSG00000001561",84.6551267200947,7.01072552795714,3.15773538735149,2.22017511538144,0.0264068828254834,0.417673699781821
"ENSG00000002330",49.9863421471669,1.37391441587635,1.11555574821993,1.23159637523152,0.218099895651516,NA
"ENSG00000002834",153.651311369454,4.85599037467186,2.62199855985038,1.85201870398775,0.0640231371153583,0.606295153372566
"ENSG00000002919",138.470529653492,-0.271688529631062,0.653132535861361,-0.415977638095698,0.677426366566199,0.998874987290562
"ENSG00000003056",620.897037420883,-1.05165433926636,0.958365981287812,-1.0973410573831,0.272492329283633,0.984404501958466
"ENSG00000003249",336.5329926604,0.425960441742603,1.95305800678208,0.218099227090765,0.827351799602267,0.998874987290562
"ENSG00000003989",124.53942899055,4.42252048706735,3.50237088328871,1.26272192021955,0.206689133488236,0.906063937315483
"ENSG00000004478",1258.14822980392,1.21471582026024,1.17573940254656,1.03315055838841,0.301533446254669,0.99809201677922
"ENSG00000004660",151.700934541949,0.0111396619274942,2.39812731240204,0.00464515035122818,0.996293719580814,0.999585647554296
"ENSG00000004700",65.1266212511961,-1.67845709477215,1.29939257340873,-1.29172440194037,0.196452603719012,NA
"ENSG00000004776",1639.45721443453,-0.60183007280924,4.29090206371822,-0.140257238191946,0.888456749259072,0.998874987290562
"ENSG00000004779",350.963690048166,-0.579294139280626,1.29828341166783,-0.446200062385793,0.655452737867754,0.998874987290562
"ENSG00000004848",45.8697908146627,5.32884069321197,4.88479516410001,1.09090361298574,0.275315297171892,NA
"ENSG00000004897",138.61808790043,-0.141356643215382,1.03600961106293,-0.13644337051116,0.891470789535048,0.998874987290562
"ENSG00000004961",118.937010446808,-0.448614261701996,1.20773027857853,-0.371452359569889,0.710300633252058,0.998874987290562
"ENSG00000004975",559.985733418683,-0.772992601896644,0.807204167866412,-0.957617208468837,0.338255818462565,0.998874987290562
"ENSG00000005001",65.0434853837798,8.74681984779265,3.8860269261727,2.25083871366977,0.0243957545606617,NA
"ENSG00000005007",834.020120360702,0.249217675560063,0.715418069071197,0.348352503709634,0.727575467789662,0.998874987290562
"ENSG00000005100",184.057592937763,-1.21160226731275,1.1686409456844,-1.03676178024311,0.299846891689996,0.99809201677922
"ENSG00000005102",50.7988357044817,0.398153484361409,6.84114994321582,0.0581997891679376,0.953589488658963,NA
"ENSG00000005175",84.3670695467579,0.419379092181865,0.966393027285177,0.433963284441319,0.664315103049734,0.998874987290562
"ENSG00000005189",131.98383851551,-0.537129096775621,2.99870294823599,-0.179120475101274,0.857843105194611,0.998874987290562
