"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0000003",0,NA,NA,NA,NA,NA
"FBgn0000008",762.300732344264,-3.70002468822981,0.609792653864519,-6.0676767172926,1.29773792219001e-09,3.28161665180423e-08
"FBgn0000014",9.48534582035717,-0.0595753687634876,0.872691027178831,-0.068266278566056,NA,NA
"FBgn0000015",6.99107846152664,-1.85480100659913,0.891258402704284,-2.08110352841694,0.0374244309645814,0.134992779848034
"FBgn0000017",28132.3689573327,-0.38513302548658,0.347096919505331,-1.10958353083472,0.267178531329499,0.498003093904195
"FBgn0000018",171.051817174653,-0.877365654414691,0.572392079461143,-1.53280537222083,0.125323816584161,0.311380493488354
"FBgn0000022",0.0449933175789855,-0.109892449670869,0.627360644233687,-0.17516631092647,0.8609489550102,NA
"FBgn0000024",77304.5857075873,-0.831282546111047,0.287143836161619,-2.8950039716094,0.00379153735430235,0.0230514998596474
"FBgn0000028",158.599764752203,-1.14773712515971,0.468284198877864,-2.45094138967319,0.0142483151531911,0.0655869449898555
"FBgn0000032",1145.98097767176,0.449082214776781,0.325534630510391,1.3795220928498,0.167733839331361,0.376042183778756
"FBgn0000036",8446.66298611661,2.07568804477011,0.308235795714936,6.73409147680485,1.6495737774006e-11,5.05573482092556e-10
"FBgn0000037",8202.08553214107,-1.06452187426147,0.243098262489162,-4.37897771609506,1.19237322329971e-05,0.000162421022048631
"FBgn0000038",27248.952799565,-0.779592039858323,0.241175618160814,-3.23246622441949,0.00122726643030318,0.00903197217134215
"FBgn0000039",2491.42452970439,1.9426381887929,0.332087805620384,5.84977272852219,4.92245140810099e-09,1.18591895242433e-07
"FBgn0000042",37864.4009344707,0.81902785237573,0.231016292595809,3.54532506418808,0.000392129176614444,0.00345251915955536
"FBgn0000043",2556.64137149744,-1.79921966858426,0.177434184345,-10.1402087496617,3.66315946598625e-24,2.18998144617758e-22
"FBgn0000044",4.19054185463236,-0.461158191823548,0.849836131406823,-0.542643663620355,0.587375169677536,NA
"FBgn0000045",3.01454819611061,0.423714130874744,0.825383658804109,0.513354155192095,0.607703608266774,NA
"FBgn0000046",2.33059310567698,-0.710815442660488,0.719874909265918,-0.987415221049074,0.323439125525625,NA
"FBgn0000047",1.40217705556557,0.129978775834821,0.644191569661269,0.201770376944186,0.840096241000632,NA
"FBgn0000052",62.1837720585812,-0.0243022572879439,0.873101680698212,-0.0278343952659782,0.977794233127831,0.991496775629052
"FBgn0000053",15.7110579339206,0.829066884361731,0.896648193265267,0.924628957699197,0.355158944819113,0.587683294697725
"FBgn0000054",5505.45437029824,0.766840736804266,0.225162180017193,3.40572620475478,0.000659883214407754,0.00538867532170244
"FBgn0000055",11.1552330827052,-0.850220477115817,0.878777260961909,-0.967503956787829,0.333292164193273,0.566321187827207
"FBgn0000056",0,NA,NA,NA,NA,NA
"FBgn0000057",1567.14702284401,-0.754111274223903,0.296356529368302,-2.54460826569715,0.0109400391776069,0.0542102478275281
"FBgn0000061",0.516543749869265,-0.333008928300643,0.63177624296486,-0.527099478666476,0.598124508759484,NA
"FBgn0000063",138.221276001029,0.233238123914481,0.637984990990665,0.365585597166336,0.714674324017098,0.857428743516526
"FBgn0000064",81488.3033399406,1.26316769944611,0.222661588735257,5.67303820394459,1.40286928150919e-08,3.21200685376278e-07
"FBgn0000071",1.31429273725891,-0.950462551057232,0.640509914407813,-1.48391543936675,NA,NA
"FBgn0000075",2.9782937338251,-0.0752355419045199,0.700707164922963,-0.107370875696399,0.914494758740037,NA
"FBgn0000077",631.745166901866,0.145086576589458,0.355872000518312,0.407693149160781,0.683498967725545,0.83673685546873
"FBgn0000078",0.232068975993344,-0.109892449670869,0.627360644233687,-0.17516631092647,0.8609489550102,NA
"FBgn0000079",0.66887884266947,-0.109892449670869,0.627360644233687,-0.17516631092647,0.8609489550102,NA
"FBgn0000083",40.7870348770528,-0.771583377529752,0.733718432734908,-1.05160691500376,0.292979933872935,0.524881735027632
"FBgn0000084",8672.05147161691,0.861070929080686,0.31326127992987,2.74873080156429,0.00598264986477864,0.0334152041178668
"FBgn0000092",32.4608821212358,1.1310673825341,0.791143388040059,1.42966167654659,0.152814144474727,0.353983494197018
"FBgn0000094",0,NA,NA,NA,NA,NA
"FBgn0000097",1978.49178297616,1.09814440676451,0.233696262694103,4.69902425526558,2.61407409970707e-06,4.14358554102503e-05
"FBgn0000099",18155.6605079409,0.158141419463271,0.262236899308997,0.603047930630583,0.546476803931332,0.743451024873571
"FBgn0000100",7381.65147321233,-0.124882444063867,0.290486719744159,-0.42990758466981,0.667262867951505,0.826716243585817
"FBgn0000108",75819.5130575023,-0.0278651516758635,0.261954405718273,-0.106374052383116,0.915285579450751,0.960821681875192
"FBgn0000109",413.06716847356,0.0409526055234414,0.369799673410042,0.110742676286878,0.911820403309924,0.959130093667756
"FBgn0000114",2213.71220458275,0.640582838473818,0.190733376002768,3.35852514068917,0.000783595930122658,0.00618007050752276
"FBgn0000115",540.645277572758,-0.0104658322320298,0.378297389033142,-0.0276656211103611,0.97792884358146,0.991496775629052
"FBgn0000116",137836.07547255,0.726570653067832,0.292988075448389,2.47986424688407,0.0131432411568382,0.0616260293063579
"FBgn0000117",21263.2048906147,1.44958783263222,0.355633623418445,4.07607081326675,4.58030755756891e-05,0.000534461189097047
"FBgn0000119",1042.68339411739,-3.20528301958111,0.411582113454303,-7.7877121352043,6.82334192612583e-15,2.6017349037216e-13
"FBgn0000120",1.13653698488521,-0.140606502585769,0.637819406996466,-0.220448768167615,NA,NA
"FBgn0000121",7.60174225824625,-0.267627633694383,0.778100196694728,-0.343950091300877,NA,NA
"FBgn0000137",2.74167132341438,-0.182107517740094,0.652892242924191,-0.278924309047487,0.780302912662304,NA
"FBgn0000139",1029.74200840329,0.736505162791726,0.391390776436586,1.88176422933936,0.059868034591871,0.187583925921149
"FBgn0000140",3.67791867252122,0.0281713364758906,0.776451399416443,0.0362821633099809,0.971057372191937,NA
"FBgn0000146",0.980416260374497,-0.272212861782724,0.63963469555357,-0.425575510013788,0.670417188625128,NA
"FBgn0000147",171.665058336976,1.01703376135802,0.602523996564299,1.68795561198778,0.0914197500250064,0.250466839884636
"FBgn0000150",4259.13031675975,-0.274473319593438,0.39931856502916,-0.687354267070941,0.491859509391125,0.707293052899989
"FBgn0000152",13.975697272573,-0.379746390053261,0.890489821648098,-0.426446637369123,0.669782424110149,0.82819251791463
"FBgn0000153",7.83005575878897,1.5879836265355,0.880717187150125,1.80305738289721,0.071379203202637,0.211215271316083
"FBgn0000157",222.408797065148,-0.425487149187539,0.877865896338724,-0.484683538752444,NA,NA
"FBgn0000158",0.0730162631810504,-0.246793765872637,0.627360644233687,-0.393384201162463,0.694035736682228,NA
"FBgn0000163",8578.97182688272,-1.05211879995036,0.36465048837113,-2.88528010657576,0.00391065546980988,0.0237013130319829
"FBgn0000166",4.57210103162771,-0.211679370803984,0.896701843401132,-0.236064386798958,0.813382708226522,NA
"FBgn0000173",8126.49179623103,-0.0445302149361465,0.281438537748814,-0.158223586905821,0.874280618194894,0.939987542985963
